iter	RMSE
0	197.4376775
1	188.9092989
2	181.3526766
3	174.385552
4	167.7707089
5	161.8220907
6	156.4422936
7	151.2885336
8	146.9549536
9	143.4497895
10	139.8560928
11	136.4303803
12	133.3336642
13	130.2670405
14	127.4626042
15	125.1583914
16	123.1247729
17	120.8087258
18	118.9865606
19	117.1843672
20	115.8939226
21	114.4003096
22	112.7088177
23	111.898488
24	110.9545033
25	109.7408517
26	109.1567201
27	108.3623214
28	107.741487
29	107.3546674
30	106.3712962
31	105.9187105
32	105.5051047
33	104.85482
34	104.5437106
35	103.9175317
36	103.6552134
37	103.0731885
38	102.1554807
39	101.6297298
40	101.4228708
41	101.218308
42	100.8220712
43	100.4029501
44	100.2516966
45	100.1118624
46	99.9938382
47	99.89461019
48	99.79375299
49	99.69396134
50	99.60665691
51	99.47707054
52	99.25275443
53	98.83320268
54	98.76416503
55	98.64715773
56	98.52369521
57	98.37101372
58	98.3100341
59	98.25985205
60	98.20715371
61	97.73285088
62	97.58312567
63	97.45418011
64	97.35515405
65	97.26474407
66	97.22825554
67	97.15223932
68	96.52682525
69	96.47940018
70	96.04091468
71	95.87870246
72	95.72740151
73	95.66167045
74	95.28117324
75	95.18301076
76	94.68338699
77	94.60125734
78	94.43721771
79	94.40924259
80	94.11450692
81	94.03998973
82	93.98791855
83	93.92413154
84	93.85827673
85	93.79676037
86	93.68883141
87	93.63828155
88	93.54082105
89	93.45828824
90	93.43477056
91	93.36001996
92	93.24988209
93	92.93064829
94	92.78918563
95	92.7572347
96	92.7290691
97	92.59849579
98	92.54922547
99	92.45910715
100	92.24216488
101	92.16104302
102	91.84911265
103	91.76544314
104	91.52906894
105	91.49071983
106	91.47531193
107	91.41779634
108	91.33213068
109	91.2827304
110	91.08069814
111	91.02414618
112	91.0004102
113	90.9089253
114	90.79016365
115	90.75390302
116	90.71876926
117	90.66532067
118	90.57976308
119	90.47702691
120	90.3811485
121	90.36610295
122	90.2763525
123	90.21400558
124	90.1989809
125	90.14219539
126	90.10077391
127	90.05683194
128	89.99314243
129	89.9565381
130	89.86785739
131	89.83353726
132	89.80464188
133	89.70688271
134	89.61602442
135	89.49058623
136	89.4233108
137	89.39953192
138	89.37342421
139	89.24972392
140	89.22354384
141	89.17108341
142	89.10042214
143	89.05508028
144	89.03655288
145	88.99656272
146	88.90579664
147	88.85837037
148	88.78071744
149	88.74455744
150	88.70491633
151	88.64002257
152	88.54396826
153	88.46117629
154	88.38532604
